优先级,国家,机构,平台,账号Handle,账号URL,备注
1,印度尼西亚,TVRI（印尼国家电视台）,Facebook,TVRINasional,https://www.facebook.com/TVRINasional,印尼FB主阵地
1,印度尼西亚,TVRI（印尼国家电视台）,X,@TVRINasional,https://x.com/TVRINasional,
1,印度尼西亚,ANTARA（安塔拉通讯社）,Facebook,antaranewsdotcom,https://www.facebook.com/antaranewsdotcom,
1,印度尼西亚,ANTARA（安塔拉通讯社）,X,@antaranews,https://x.com/antaranews,
1,印度尼西亚,ANTARA（安塔拉通讯社）,TikTok,@antaranews,https://www.tiktok.com/@antaranews,
2,印度尼西亚,ANTARA（安塔拉通讯社）,Instagram,@antaranewscom,https://www.instagram.com/antaranewscom/,
1,马来西亚,Berita RTM（RTM新闻）,Facebook,BeritaRTM,https://www.facebook.com/BeritaRTM,马来西亚FB主阵地
2,马来西亚,Bernama（伯尔纳玛通讯社）,Facebook,待核实,https://www.bernama.com/,采集前确认FB handle
1,菲律宾,PTV（菲律宾电视台）,Facebook,PTVph,https://www.facebook.com/PTVph,FB/X/IG/TikTok全平台
1,菲律宾,PTV（菲律宾电视台）,YouTube,@PTVphilippines,https://www.youtube.com/@PTVphilippines,频道链接待二次核验
1,菲律宾,PTV（菲律宾电视台）,X,@PTVph,https://x.com/PTVph,
2,菲律宾,PTV（菲律宾电视台）,Instagram,@ptvph,https://www.instagram.com/ptvph/,
1,菲律宾,PTV（菲律宾电视台）,TikTok,@ptvphilippines,https://www.tiktok.com/@ptvphilippines,
1,菲律宾,PNA（菲律宾通讯社）,Facebook,pnagovph,https://www.facebook.com/pnagovph,741K+粉丝；认证账号
1,缅甸,MRTV（缅甸国家电视台）,Facebook,mrtvwebmediaportal,https://www.facebook.com/mrtvwebmediaportal,英文内容主渠道
1,缅甸,MRTV（缅甸国家电视台）,YouTube,@MRTVWebPortal,https://www.youtube.com/@MRTVWebPortal,频道链接待二次核验
1,缅甸,MRTV（缅甸国家电视台）,X,@mrtvwebportal,https://x.com/mrtvwebportal,
1,缅甸,MRTV（缅甸国家电视台）,Telegram,mrtvnews,https://t.me/mrtvnews,缅甸TG重度使用
2,缅甸,MITV（缅甸国际电视台）,全部,待核实,https://myanmaritv.com/,从官网提取各平台链接
1,泰国,Thai PBS World,Facebook,ThaiPBSWorld,https://www.facebook.com/ThaiPBSWorld,英文国际频道
1,泰国,Thai PBS World,X,@ThaiPBSWorld,https://x.com/ThaiPBSWorld,
1,泰国,Thai PBS World,TikTok,@thaipbsworld,https://www.tiktok.com/@thaipbsworld,
2,泰国,Thai PBS World,Instagram,@thaipbsworld,https://www.instagram.com/thaipbsworld/,
1,泰国,NBT WORLD（泰国国家台英文频道）,Facebook,nbtworld,https://www.facebook.com/nbtworld,
1,泰国,NBT WORLD（泰国国家台英文频道）,YouTube,NBT WORLD,待核验,按频道名搜索确认channel ID
1,越南,VTV24（越南24小时新闻）,Facebook,tintucvtv24,https://www.facebook.com/tintucvtv24,
1,越南,VTV24（越南24小时新闻）,YouTube,channel,https://www.youtube.com/channel/UCabsTV34JwALXKGMqHpvUiA,
1,越南,VTV24（越南24小时新闻）,TikTok,@vtv24news,https://www.tiktok.com/@vtv24news,
1,越南,VNA/VietnamPlus（越通社英文）,Facebook,VietnamPlus.English,https://www.facebook.com/VietnamPlus.English,
2,越南,VietnamToday（半官方英文媒体）,Facebook+YouTube,vietnamtodayinternational / @vietnamtodayinternational,https://www.facebook.com/vietnamtodayinternational,官方/商业属性待核实
1,柬埔寨,TVK（柬埔寨国家电视台）,Facebook,TVKNewsCambodia,https://www.facebook.com/TVKNewsCambodia,柬埔寨FB主阵地
1,柬埔寨,TVK（柬埔寨国家电视台）,YouTube,channel,https://www.youtube.com/channel/UCZSivoGy_0zekwJsoOrbLOw,
1,柬埔寨,AKP（柬埔寨国家通讯社）,Facebook,akp.official,https://www.facebook.com/akp.official,
1,老挝,KPL（老挝通讯社）,Facebook,LaoNewsAgency,https://www.facebook.com/LaoNewsAgency,
1,老挝,KPL（老挝通讯社）,YouTube,@laonewsagencykpl4951,https://www.youtube.com/@laonewsagencykpl4951,
1,文莱,RTB（文莱皇家电视台）,Facebook,rtb.bn,https://www.facebook.com/rtb.bn,
2,文莱,RTB（文莱皇家电视台）,Instagram,@rtb.bn,https://www.instagram.com/rtb.bn/,
1,文莱,RTB（文莱皇家电视台）,YouTube,channel,https://www.youtube.com/channel/UClGuLDuraHQvUnUYIdW1j-w,
1,新加坡,CNA（亚洲新闻台）,Facebook,ChannelNewsAsia,https://www.facebook.com/ChannelNewsAsia,约470万粉丝
1,新加坡,CNA（亚洲新闻台）,X,@ChannelNewsAsia,https://x.com/ChannelNewsAsia,
1,新加坡,CNA（亚洲新闻台）,Instagram,@channelnewsasia,https://www.instagram.com/channelnewsasia/,
1,新加坡,CNA（亚洲新闻台）,YouTube,channel,https://www.youtube.com/user/channelnewsasia,官方频道
1,新加坡,CNA（亚洲新闻台）,TikTok,@channelnewsasia,https://www.tiktok.com/@channelnewsasia,
1,新加坡,CNA（亚洲新闻台）,Telegram,入口,https://cna.asia/telegram,官网TG入口
1,东帝汶,RTTL（东帝汶电视台）,YouTube,@RTTLNotícia,https://www.youtube.com/@RTTLNotícia,葡语为主
1,东帝汶,RTTL（东帝汶电视台）,Facebook,TATOLI.IP,https://www.facebook.com/TATOLI.IP,
2,东帝汶,TATOLI（东帝汶国家通讯社）,Facebook,待核实,https://tatoli.tl/,从官网提取
,,优先级说明,——,——,——,优先级1=核心监测（约35个）；优先级2=补充覆盖；标“待核验/待核实”的采集前先验证链接
