国家,机构名称,类型,官网,备注
印度尼西亚,TVRI（印尼国家电视台）,国家电视台,https://www.tvri.go.id/,国有；国家台+省级台
印度尼西亚,ANTARA（安塔拉通讯社）,国家通讯社,https://www.antaranews.com/,印尼国家通讯社
印度尼西亚,Berita RTM,（马来西亚）,https://www.rtm.gov.my/,
马来西亚,RTM（马来西亚国家广播电视台）,国家电视台+广播,https://www.rtm.gov.my/,国有；电视+广播+数字
马来西亚,Bernama（伯尔纳玛通讯社）,国家通讯社,https://www.bernama.com/,马来西亚国家通讯社
菲律宾,PTV（菲律宾电视台）,国家电视台,https://www.ptv.ph/,菲律宾国家电视台
菲律宾,PNA（菲律宾通讯社）,国家通讯社,https://www.pna.gov.ph/,Facebook 741K+ 粉丝
缅甸,MRTV（缅甸国家电视台）,国家电视台,https://mrtv.gov.mm/,官方主台；英文内容见 MRTV Web Media
缅甸,MITV（缅甸国际电视台）,国际频道,https://myanmaritv.com/,缅甸国际台
缅甸,GNLM（缅甸政府新闻社）,国家通讯社,https://gnlm.com.mm/,政府官方通讯社
缅甸,Myawaddy TV（缅甸瓦地电视台）,国家电视台,https://www.myawaddytv.com/,军方背景；待核实
泰国,NBT（泰国国家电视台）,国家电视台,https://www.nbt.co.th/,总理办公室下属；政府官方台
泰国,Thai PBS（泰国公共电视台）,公共电视台,https://www.thaipbs.or.th/,法定公共广播机构（与NBT双轨并行）
越南,VTV（越南国家电视台）,国家电视台,https://vtv.vn/,含国际频道VTV4、24小时新闻VTV24
越南,VOV（越南国家广播）,国家广播,https://www.vovworld.vn/,国际频道VOV World；多语种
越南,VNA/VietnamPlus（越通社）,国家通讯社,https://en.vietnamplus.vn/,越南国家通讯社
柬埔寨,TVK（柬埔寨国家电视台）,国家电视台,https://tvk.gov.kh/,国家电视台
柬埔寨,AKP（柬埔寨国家通讯社）,国家通讯社,https://akp.gov.kh/,国家通讯社
柬埔寨,KHOS/柬埔寨国家新闻,新闻网站,https://khmer_times.com/,官方英文新闻平台；待核实
老挝,LNTV（老挝国家电视台）,国家电视台,https://lntv.gov.la/,国家电视台
老挝,KPL（老挝通讯社）,国家通讯社,https://kpl.gov.la/,国家通讯社
文莱,RTB（文莱皇家电视台）,国家电视台,https://www.rtb.gov.bn/,无独立国家通讯社，官方通稿经RTB发布
新加坡,CNA（亚洲新闻台）,国际频道,https://www.channelnewsasia.com/,MediaCorp 旗下国际频道；英语
东帝汶,RTTL（东帝汶电视台）,国家电视台,https://www.rttlep.tl/,TATOLI.IP 品牌；葡/印尼语为主
东帝汶,TATOLI（东帝汶国家通讯社）,国家通讯社,https://tatoli.tl/,国家通讯社
,,说明,截至2026-08-25；范围=东盟10国+东帝汶；仅官方/国家媒体,不含商业台；DVB/Mizzima 为流亡/反对派媒体未列入
,,,核验方式：官网+ABU成员名单+机构自述,带"待核实"的行建议在采集前二次核验
